City_ID,City,Lat,Lng,Max Temp (C),Humidity,Cloudiness,Wind Speed,Country,Date
0,enewetak,11.3474,162.3373,28.06,75,96,1.71,MH,1697989755
1,fort st. john,56.2499,-120.8529,-4.06,93,100,4.12,CA,1697989755
2,saint-francois,46.4154,3.9054,15.69,65,0,1.03,FR,1697989756
3,longyearbyen,78.2186,15.6401,-9.09,79,20,4.12,SJ,1697989756
4,ust-kamenogorsk,49.9789,82.6103,11.96,82,100,5.0,KZ,1697989756
5,coquimbo,-29.9533,-71.3436,17.85,63,0,5.66,CL,1697989756
6,port-aux-francais,-49.35,70.2167,2.61,63,53,12.45,TF,1697989757
7,malango,-2.9627,119.9001,19.03,97,27,1.15,ID,1697989757
8,invercargill,-46.4,168.35,3.34,93,8,0.45,NZ,1697989664
9,rongelap,11.1635,166.8941,28.08,80,100,4.85,MH,1697989757
10,prince rupert,54.3161,-130.3201,6.83,84,75,7.72,CA,1697989758
11,jijiga,9.35,42.8,22.61,42,99,6.76,ET,1697989758
12,tiksi,71.6872,128.8694,-20.11,100,94,0.9,RU,1697989758
13,lubao,14.9167,120.55,26.84,85,99,1.95,PH,1697989759
14,atafu village,-8.5421,-172.5159,27.65,77,97,1.28,TK,1697989759
15,la peca,-5.6111,-78.435,29.65,49,37,1.41,PE,1697989759
16,broome,42.2506,-75.833,7.57,86,100,6.17,US,1697989760
17,port mathurin,-19.6833,63.4167,24.73,81,11,4.41,MU,1697989760
18,alesund,62.4723,6.1549,9.51,65,0,1.03,NO,1697989760
19,badger,64.8,-147.5333,-8.05,81,100,0.0,US,1697989760
20,anadyr,64.75,177.4833,5.28,86,20,13.0,RU,1697989761
21,isafjordur,66.0755,-23.124,6.02,61,100,5.66,IS,1697989761
22,puerto natales,-51.7236,-72.4875,12.25,50,75,5.66,CL,1697989634
23,tazovsky,67.4667,78.7,-2.48,90,100,8.33,RU,1697989761
24,geraldton,-28.7667,114.6,17.23,67,53,5.14,AU,1697989653
25,vorgashor,67.5833,63.95,-4.69,94,94,4.74,RU,1697989762
26,ushuaia,-54.8,-68.3,7.81,66,75,11.32,AR,1697989762
27,mulanje,-16.0316,35.5,29.99,43,100,1.21,MW,1697989762
28,iqaluit,63.7506,-68.5145,-3.15,73,75,9.26,CA,1697989763
29,nadi,-17.8,177.4167,25.0,83,40,2.06,FJ,1697989763
30,st. john's,47.5649,-52.7093,17.66,84,75,12.35,CA,1697989468
31,tura,25.5198,90.2201,20.77,93,17,1.36,IN,1697989763
32,annweiler am trifels,49.2,7.9667,16.3,65,79,2.0,DE,1697989764
33,san jose,37.3394,-121.895,18.66,79,40,5.66,US,1697989676
34,flying fish cove,-10.4217,105.6791,23.82,94,75,1.54,CX,1697989764
35,grytviken,-54.2811,-36.5092,3.03,73,33,4.54,GS,1697989764
36,edinburgh of the seven seas,-37.0676,-12.3116,13.97,85,65,5.13,SH,1697989765
37,margaret river,-33.95,115.0667,13.47,60,91,7.25,AU,1697989765
38,dowlatabad,32.7998,51.6955,15.82,13,0,2.06,IR,1697989765
39,broken hill,-31.95,141.4333,12.24,47,71,5.55,AU,1697989766
40,kidal,18.4411,1.4078,38.11,8,2,5.58,ML,1697989766
41,bayji,34.9311,43.487,26.47,28,86,1.99,IQ,1697989766
42,agadez,19.75,10.25,34.53,10,100,4.01,NE,1697989766
43,port pirie,-33.1833,138.0167,8.99,76,91,2.81,AU,1697989767
44,young,-32.6833,-57.6333,23.04,91,100,4.5,UY,1697989767
45,hermanus,-34.4187,19.2345,19.74,67,79,6.46,ZA,1697989767
46,nar'yan-mar,67.6713,53.087,-0.22,80,93,7.79,RU,1697989768
47,fort bragg,35.139,-79.006,21.13,43,0,7.72,US,1697989768
